"인지수준별(1)","항목",2020,2020,2021,2021,2022,2022,2023,2023,2024,2024,2024,2025,2025,2025
"인지수준별(1)","항목",중학생,고등학생,중학생,고등학생,중학생,고등학생,중학생,고등학생,초등학생,중학생,고등학생,초등학생,중학생,고등학생
"계","비율 (%)",-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"전혀 모름","비율 (%)",0.6,0.2,0.4,0.4,0.4,0.4,0.6,0.3,0.9,1.4,0.6,0.7,1.8,0.6
"잘 모름","비율 (%)",4.0,4.1,3.8,3.2,4.3,2.9,4.1,2.0,4.4,5.6,5.1,4.3,6.5,4.6
"보통","비율 (%)",34.8,35.0,36.4,36.0,34.1,31.9,32.3,26.3,32.8,40.0,39.0,33.3,41.1,37.6
"잘 알고 있음","비율 (%)",40.0,42.6,38.8,40.5,39.3,40.8,39.0,46.2,37.7,35.6,38.8,38.3,35.0,40.7
"매우 잘 알고 있음","비율 (%)",20.6,18.2,20.6,20.0,21.9,24.0,24.0,25.2,24.1,17.4,16.5,23.4,15.7,16.5
"평균(표준편차)","평균 (점)",3.76,3.74,3.75,3.76,3.78,3.85,3.82,3.94,3.80,3.62,3.65,3.79,3.56,3.68
"평균(표준편차)","표준편차",0.84,0.81,0.84,0.82,0.85,0.83,0.87,0.78,0.89,0.88,0.83,0.87,0.89,0.82
